accident_id,city,state,latitude,longitude,date,time,day_of_week,is_weekend,road_type,lanes,traffic_signal,Weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
17,Hyderabad,Telangana,17.382285,78.551704,03/08/2023,11:00:00,Thursday,No,Urban,6,No,Rain,Low,20,Low,Overspeeding,Major,5,3,No,Normal Day,0.45
18,Chennai,Tamil Nadu,13.161404,80.197819,26/09/2023,21:00:00,Tuesday,No,Urban,1,Yes,Fog,Low,30,Medium,Distraction,Fatal,5,5,No,Normal Day,0.65
19,Hyderabad,Telangana,17.570411,78.310647,14/08/2024,18:00:00,Wednesday,No,Urban,4,Yes,Fog,Low,21,High,Distraction,Fatal,1,1,Yes,Normal Day,1.00
20,Chandigarh,Punjab,30.629812,76.765481,04/02/2024,02:00:00,Sunday,Yes,Urban,5,Yes,Fog,Low,36,Low,Poor Road,Minor,2,0,No,Normal Day,0.45
21,Kolkata,West Bengal,22.459848,88.361745,04/11/2022,01:00:00,Friday,No,Highway,6,Yes,Fog,Low,30,Low,Drunk Driving,Fatal,5,5,No,Normal Day,0.65
22,Kolkata,West Bengal,22.692541,88.209956,09/12/2023,00:00:00,Saturday,Yes,Urban,3,No,Fog,Low,25,Medium,Weather,Minor,4,1,No,Normal Day,0.45
23,Bangalore,Karnataka,12.911401,77.624696,06/08/2024,03:00:00,Tuesday,No,Urban,1,No,Rain,Low,26,Medium,Distraction,Major,3,1,No,Normal Day,0.45
24,Chennai,Tamil Nadu,12.98416,80.153974,26/07/2023,23:00:00,Wednesday,No,Urban,2,No,Clear,High,36,Medium,Distraction,Minor,3,2,No,Normal Day,0.10
25,Delhi,Delhi,28.528171,77.003017,26/03/2023,01:00:00,Sunday,Yes,Highway,5,Yes,Clear,High,29,High,Drunk Driving,Minor,3,2,No,Normal Day,0.30
26,Delhi,Delhi,28.631253,77.168852,02/11/2022,14:00:00,Wednesday,No,Highway,4,No,Rain,Low,32,High,Overspeeding,Major,1,0,No,Normal Day,0.65
27,Chennai,Tamil Nadu,12.964354,80.262971,11/10/2024,13:00:00,Friday,No,Urban,6,No,Clear,High,39,High,Weather,Major,1,1,No,Normal Day,0.30
28,Chennai,Tamil Nadu,13.171632,80.200311,05/09/2023,05:00:00,Tuesday,No,Highway,4,Yes,Rain,Mediun,29,High,Weather,Minor,1,1,No,Normal Day,0.45
29,Mumbai,Maharashtra,18.876038,72.816062,09/01/2024,08:00:00,Tuesday,No,Rural,3,Yes,Rain,Mediun,28,High,Overspeeding,Minor,1,1,Yes,Normal Day,0.60
30,Delhi,Delhi,28.494878,77.089734,08/04/2025,17:00:00,Tuesday,No,Urban,6,No,Fog,Low,17,High,Drunk Driving,Minor,4,0,Yes,Normal Day,0.80
31,Bangalore,Karnataka,13.181455,77.704682,21/05/2023,17:00:00,Sunday,Yes,Rural,3,Yes,Clear,High,36,High,Distraction,Minor,1,1,Yes,Normal Day,0.45
32,Mumbai,Maharashtra,19.277812,72.889938,31/12/2024,07:00:00,Tuesday,No,Rural,6,No,Clear,High,24,Low,Poor Road,Minor,3,1,No,Normal Day,0.10
33,Kolkata,West Bengal,22.644485,88.376914,11/10/2024,07:00:00,Friday,No,Urban,6,Yes,Fog,Low,18,Low,Overspeeding,Minor,5,4,No,Normal Day,0.45
34,Bangalore,Karnataka,13.007483,77.745779,09/10/2023,03:00:00,Monday,No,Highway,1,No,Rain,Mediun,23,Medium,Drunk Driving,Minor,4,4,No,Normal Day,0.25
35,Delhi,Delhi,28.767686,77.102505,02/06/2022,17:00:00,Thursday,No,Rural,1,Yes,Fog,Low,27,Medium,Poor Road,Minor,5,2,Yes,Normal Day,0.60
36,Chandigarh,Punjab,30.79305,76.864728,21/12/2023,04:00:00,Thursday,No,Highway,6,No,Clear,High,35,Low,Overspeeding,Minor,5,1,No,Normal Day,0.10
37,Delhi,Delhi,28.513789,77.26605,02/01/2024,14:00:00,Tuesday,No,Rural,6,Yes,Fog,Low,24,High,Drunk Driving,Minor,1,0,No,Normal Day,0.65
38,Chennai,Tamil Nadu,12.941766,80.271836,19/02/2023,18:00:00,Sunday,Yes,Highway,5,Yes,Clear,High,32,Low,Weather,Fatal,4,4,Yes,Normal Day,0.45
39,Pune,Maharashtra,18.497326,73.919761,04/12/2023,06:00:00,Monday,No,Rural,5,No,Rain,Mediun,20,Low,Drunk Driving,Minor,2,1,No,Normal Day,0.25
40,Kolkata,West Bengal,22.568337,88.326718,02/09/2023,01:00:00,Saturday,Yes,Rural,4,Yes,Rain,Mediun,30,High,Weather,Minor,4,3,No,Normal Day,0.45
41,Mumbai,Maharashtra,18.945509,72.865677,19/11/2024,22:00:00,Tuesday,No,Highway,5,Yes,Rain,Mediun,40,High,Distraction,Minor,2,2,No,Normal Day,0.45
42,Chandigarh,Punjab,30.739178,76.722246,21/07/2023,09:00:00,Friday,No,Urban,4,No,Rain,Mediun,29,High,Drunk Driving,Fatal,3,3,Yes,Normal Day,0.80
43,Hyderabad,Telangana,17.36441,78.442288,01/03/2022,22:00:00,Tuesday,No,Urban,4,Yes,Rain,Mediun,20,Medium,Overspeeding,Major,1,0,No,Normal Day,0.25
44,Chennai,Tamil Nadu,13.174093,80.150346,13/01/2025,13:00:00,Monday,No,Highway,2,Yes,Clear,High,20,Low,Weather,Minor,1,1,No,Normal Day,0.10
45,Chandigarh,Punjab,30.75772,76.718682,01/11/2022,00:00:00,Tuesday,No,Rural,3,Yes,Rain,Mediun,26,Low,Drunk Driving,Major,2,2,No,Normal Day,0.25
46,Bangalore,Karnataka,13.032625,77.614829,21/06/2024,09:00:00,Friday,No,Urban,2,Yes,Rain,Mediun,21,High,Distraction,Minor,1,1,Yes,Normal Day,0.60
47,Chandigarh,Punjab,30.774779,76.862232,11/04/2025,11:00:00,Friday,No,Urban,6,Yes,Rain,Low,31,Low,Poor Road,Major,4,4,No,Normal Day,0.45
48,Delhi,Delhi,28.683622,77.273941,06/02/2023,15:00:00,Monday,No,Rural,2,Yes,Rain,Mediun,16,Medium,Poor Road,Major,3,3,No,Normal Day,0.25
49,Hyderabad,Telangana,17.384544,78.420669,23/05/2022,14:00:00,Monday,No,Highway,4,No,Rain,Low,22,High,Weather,Major,2,0,No,Normal Day,0.65
50,Hyderabad,Telangana,17.217784,78.280672,23/12/2024,13:00:00,Monday,No,Rural,3,Yes,Fog,Low,31,Medium,Distraction,Major,2,2,No,Normal Day,0.45
51,Pune,Maharashtra,18.482992,73.944129,29/02/2024,09:00:00,Thursday,No,Highway,2,Yes,Clear,High,32,High,Overspeeding,Major,3,1,Yes,Normal Day,0.45
52,Hyderabad,Telangana,17.224481,78.470636,23/02/2023,07:00:00,Thursday,No,Rural,3,Yes,Fog,Low,17,Medium,Drunk Driving,Major,2,2,No,Normal Day,0.45
53,Bangalore,Karnataka,12.863932,77.797043,21/07/2024,02:00:00,Sunday,Yes,Urban,4,No,Fog,Low,15,Low,Drunk Driving,Major,1,0,No,Normal Day,0.45
54,Mumbai,Maharashtra,19.090552,72.9844,14/03/2023,21:00:00,Tuesday,No,Rural,1,Yes,Rain,Low,29,Medium,Poor Road,Minor,3,0,No,Normal Day,0.45
55,Chandigarh,Punjab,30.790067,76.805399,30/09/2024,03:00:00,Monday,No,Highway,5,Yes,Rain,Low,25,Low,Weather,Major,3,1,No,Normal Day,0.45
56,Delhi,Delhi,28.502883,77.165457,17/11/2022,06:00:00,Thursday,No,Urban,5,Yes,Fog,Low,32,Medium,Drunk Driving,Minor,3,3,No,Normal Day,0.45
57,Chandigarh,Punjab,30.774233,76.72531,07/09/2023,00:00:00,Thursday,No,Urban,3,No,Clear,High,40,Low,Distraction,Major,2,1,No,Normal Day,0.10
58,Mumbai,Maharashtra,19.232608,72.869852,04/06/2023,06:00:00,Sunday,Yes,Urban,6,No,Fog,Low,21,Medium,Weather,Major,2,1,No,Normal Day,0.45
59,Chennai,Tamil Nadu,12.959773,80.153419,28/06/2022,02:00:00,Tuesday,No,Urban,1,No,Clear,High,31,Low,Overspeeding,Minor,1,0,No,Normal Day,0.10
60,Chennai,Tamil Nadu,12.985135,80.226248,28/03/2025,23:00:00,Friday,No,Rural,2,No,Rain,Low,25,High,Overspeeding,Fatal,4,4,No,Normal Day,0.85
61,Mumbai,Maharashtra,19.061169,72.872827,17/04/2024,14:00:00,Wednesday,No,Urban,5,Yes,Clear,High,19,Low,Poor Road,Minor,2,0,No,Normal Day,0.10
62,Delhi,Delhi,28.463133,76.976698,31/12/2024,09:00:00,Tuesday,No,Rural,1,Yes,Rain,Mediun,39,Medium,Distraction,Major,1,0,Yes,Normal Day,0.40
63,Chennai,Tamil Nadu,12.852053,80.121615,13/05/2023,14:00:00,Saturday,Yes,Urban,6,Yes,Rain,Mediun,27,High,Distraction,Major,3,1,No,Normal Day,0.45
64,Chennai,Tamil Nadu,13.017299,80.224813,02/04/2024,00:00:00,Tuesday,No,Rural,3,No,Fog,Low,26,Low,Overspeeding,Major,4,1,No,Normal Day,0.45
65,Pune,Maharashtra,18.560997,73.811173,17/08/2024,23:00:00,Saturday,Yes,Rural,2,Yes,Fog,Low,24,Medium,Drunk Driving,Major,2,2,No,Normal Day,0.45
66,Chennai,Tamil Nadu,12.97141,80.197487,11/12/2023,07:00:00,Monday,No,Rural,4,Yes,Rain,Mediun,18,High,Drunk Driving,Major,1,0,No,Normal Day,0.45
67,Mumbai,Maharashtra,19.264702,72.886613,22/09/2022,10:00:00,Thursday,No,Highway,1,Yes,Clear,High,21,High,Poor Road,Major,2,2,Yes,Normal Day,0.45
68,Mumbai,Maharashtra,18.811624,72.877651,27/02/2022,05:00:00,Sunday,Yes,Rural,2,Yes,Fog,Low,17,High,Drunk Driving,Minor,5,5,No,Normal Day,0.65
69,Chandigarh,Punjab,30.674067,76.774623,23/04/2024,21:00:00,Tuesday,No,Rural,4,No,Clear,High,36,High,Distraction,Major,3,1,No,Normal Day,0.30
70,Mumbai,Maharashtra,19.208566,72.896859,26/05/2023,06:00:00,Friday,No,Highway,6,Yes,Fog,Low,34,Low,Poor Road,Major,1,1,No,Normal Day,0.45
71,Hyderabad,Telangana,17.530898,78.305176,26/11/2024,19:00:00,Tuesday,No,Highway,2,Yes,Fog,Low,38,Low,Poor Road,Minor,3,3,Yes,Normal Day,0.60
72,Pune,Maharashtra,18.442448,73.878574,03/03/2024,14:00:00,Sunday,Yes,Urban,4,No,Fog,Low,19,High,Drunk Driving,Major,2,2,No,Normal Day,0.65
73,Delhi,Delhi,28.47365,77.060874,24/03/2023,11:00:00,Friday,No,Highway,2,Yes,Clear,High,21,High,Weather,Fatal,5,5,No,Normal Day,0.50
74,Bangalore,Karnataka,12.984625,77.767823,21/09/2022,06:00:00,Wednesday,No,Rural,1,Yes,Rain,Low,19,Low,Distraction,Fatal,1,1,No,Normal Day,0.65
75,Bangalore,Karnataka,12.954595,77.488507,25/02/2024,13:00:00,Sunday,Yes,Highway,1,Yes,Fog,Low,29,Medium,Overspeeding,Major,2,0,No,Normal Day,0.45
76,Chandigarh,Punjab,30.78901,76.887359,02/05/2022,19:00:00,Monday,No,Urban,1,Yes,Clear,High,23,High,Weather,Minor,4,0,Yes,Normal Day,0.45
77,Pune,Maharashtra,18.528017,73.850369,05/09/2023,06:00:00,Tuesday,No,Urban,4,Yes,Rain,Low,39,Low,Poor Road,Minor,2,1,No,Normal Day,0.45
78,Pune,Maharashtra,18.549441,73.804096,14/04/2025,05:00:00,Monday,No,Urban,4,Yes,Fog,Low,39,High,Drunk Driving,Minor,2,0,No,Normal Day,0.65
79,Chennai,Tamil Nadu,12.919435,80.207627,28/03/2023,15:00:00,Tuesday,No,Urban,2,Yes,Fog,Low,27,High,Poor Road,Fatal,5,5,No,Normal Day,0.85
80,Delhi,Delhi,28.813866,77.149528,31/01/2025,21:00:00,Friday,No,Urban,6,Yes,Fog,Low,19,High,Poor Road,Minor,3,1,No,Normal Day,0.65
81,Chandigarh,Punjab,30.658767,76.836989,01/03/2024,14:00:00,Friday,No,Highway,6,No,Rain,Mediun,36,Medium,Drunk Driving,Major,3,1,No,Normal Day,0.25
82,Pune,Maharashtra,18.499609,73.81264,14/06/2024,06:00:00,Friday,No,Highway,2,No,Rain,Mediun,37,Medium,Overspeeding,Minor,3,0,No,Normal Day,0.25
83,Kolkata,West Bengal,22.641847,88.381884,05/11/2024,22:00:00,Tuesday,No,Rural,1,Yes,Fog,Low,30,Low,Overspeeding,Minor,1,0,No,Normal Day,0.45
84,Hyderabad,Telangana,17.386509,78.48781,11/04/2022,00:00:00,Monday,No,Rural,1,Yes,Rain,Mediun,38,Low,Weather,Major,3,0,No,Normal Day,0.25
85,Hyderabad,Telangana,17.335804,78.271751,21/04/2023,03:00:00,Friday,No,Urban,5,Yes,Fog,Low,40,Low,Weather,Major,2,2,No,Normal Day,0.45
86,Chandigarh,Punjab,30.645926,76.791403,23/01/2025,17:00:00,Thursday,No,Highway,2,No,Fog,Low,36,Medium,Weather,Major,3,2,Yes,Normal Day,0.60
87,Chennai,Tamil Nadu,12.93952,80.153093,07/12/2023,14:00:00,Thursday,No,Rural,2,Yes,Rain,Low,25,Medium,Overspeeding,Minor,5,1,No,Normal Day,0.45
88,Hyderabad,Telangana,17.512138,78.471549,24/04/2024,06:00:00,Wednesday,No,Highway,1,No,Rain,Low,30,Low,Poor Road,Minor,5,5,No,Normal Day,0.45
89,Mumbai,Maharashtra,18.803193,72.982741,28/09/2022,04:00:00,Wednesday,No,Highway,3,No,Fog,Low,19,Low,Distraction,Minor,5,4,No,Normal Day,0.45
90,Delhi,Delhi,28.838921,76.991482,16/02/2025,22:00:00,Sunday,Yes,Highway,3,No,Clear,High,24,High,Distraction,Minor,2,1,No,Normal Day,0.30
91,Hyderabad,Telangana,17.470165,78.472552,24/09/2022,02:00:00,Saturday,Yes,Urban,3,Yes,Rain,Mediun,20,Medium,Weather,Major,1,1,No,Normal Day,0.25
92,Pune,Maharashtra,18.537548,73.723176,14/10/2022,23:00:00,Friday,No,Rural,3,No,Rain,Mediun,38,High,Drunk Driving,Major,5,3,No,Normal Day,0.45
93,Bangalore,Karnataka,12.941515,77.674347,14/11/2024,05:00:00,Thursday,No,Rural,6,No,Fog,Low,35,High,Overspeeding,Minor,3,1,No,Normal Day,0.65
94,Pune,Maharashtra,18.467712,73.954984,14/03/2025,09:00:00,Friday,No,Rural,1,Yes,Fog,Low,18,High,Poor Road,Minor,5,5,Yes,Normal Day,0.80
95,Hyderabad,Telangana,17.44697,78.449607,19/09/2023,18:00:00,Tuesday,No,Urban,1,No,Fog,Low,19,High,Overspeeding,Minor,2,1,Yes,Normal Day,0.80
96,Mumbai,Maharashtra,19.250366,72.762997,06/06/2024,22:00:00,Thursday,No,Urban,4,No,Fog,Low,35,Medium,Poor Road,Major,4,4,No,Normal Day,0.45
97,Kolkata,West Bengal,22.48522,88.321126,05/09/2022,02:00:00,Monday,No,Rural,4,Yes,Clear,High,37,Low,Overspeeding,Minor,3,3,No,Normal Day,0.10
98,Chandigarh,Punjab,30.662289,76.860184,03/08/2024,07:00:00,Saturday,Yes,Rural,4,No,Clear,High,27,Medium,Weather,Major,3,0,No,Normal Day,0.10
99,Pune,Maharashtra,18.687205,73.858717,22/03/2023,17:00:00,Wednesday,No,Highway,4,No,Clear,High,16,Medium,Distraction,Major,4,4,Yes,Normal Day,0.25
100,Chandigarh,Punjab,30.729891,76.786151,17/04/2022,06:00:00,Sunday,Yes,Highway,2,No,Fog,Low,34,Low,Drunk Driving,Minor,5,2,No,Normal Day,0.45
101,Chennai,Tamil Nadu,12.810721,80.19735,05/08/2023,18:00:00,Saturday,Yes,Urban,2,Yes,Fog,Low,36,High,Poor Road,Minor,4,2,Yes,Normal Day,0.80
102,Kolkata,West Bengal,22.537913,88.323836,16/07/2023,23:00:00,Sunday,Yes,Highway,5,Yes,Rain,Low,40,High,Distraction,Minor,3,1,No,Normal Day,0.65
103,Bangalore,Karnataka,13.045999,77.520041,24/04/2023,12:00:00,Monday,No,Urban,4,Yes,Rain,Mediun,26,Low,Distraction,Fatal,1,1,No,Normal Day,0.45
104,Bangalore,Karnataka,12.848361,77.433807,26/10/2022,07:00:00,Wednesday,No,Rural,2,No,Clear,High,25,Medium,Drunk Driving,Major,1,0,No,Normal Day,0.10
105,Bangalore,Karnataka,13.057964,77.590444,10/12/2023,20:00:00,Sunday,Yes,Highway,2,No,Clear,High,40,Medium,Drunk Driving,Minor,4,0,No,Normal Day,0.10
106,Mumbai,Maharashtra,18.990602,72.799954,09/12/2024,20:00:00,Monday,No,Highway,2,Yes,Rain,Low,23,Low,Drunk Driving,Major,1,0,No,Normal Day,0.45
107,Hyderabad,Telangana,17.426893,78.488724,01/03/2024,13:00:00,Friday,No,Highway,4,Yes,Fog,Low,39,Low,Distraction,Minor,5,1,No,Normal Day,0.45
108,Mumbai,Maharashtra,18.838523,72.976824,22/11/2023,22:00:00,Wednesday,No,Rural,1,Yes,Rain,Mediun,15,Low,Drunk Driving,Minor,5,1,No,Normal Day,0.25
109,Chennai,Tamil Nadu,13.10543,80.11737,20/12/2023,04:00:00,Wednesday,No,Rural,6,No,Clear,High,29,Medium,Weather,Minor,2,1,No,Normal Day,0.10
110,Delhi,Delhi,28.519189,76.859451,03/02/2024,02:00:00,Saturday,Yes,Rural,1,No,Rain,Low,27,High,Poor Road,Minor,1,0,No,Normal Day,0.65
111,Bangalore,Karnataka,12.94701,77.785423,19/11/2024,16:00:00,Tuesday,No,Rural,1,No,Clear,High,34,Low,Distraction,Minor,5,5,No,Normal Day,0.10
112,Hyderabad,Telangana,17.49119,78.27063,15/02/2025,08:00:00,Saturday,Yes,Urban,4,No,Rain,Low,31,High,Poor Road,Minor,3,0,Yes,Normal Day,0.80
113,Chennai,Tamil Nadu,12.812744,80.226751,07/09/2022,20:00:00,Wednesday,No,Highway,2,No,Fog,Low,17,Low,Drunk Driving,Major,5,2,No,Normal Day,0.45
114,Chennai,Tamil Nadu,13.126298,80.273119,07/07/2024,09:00:00,Sunday,Yes,Highway,6,Yes,Clear,High,34,Medium,Overspeeding,Major,4,1,Yes,Normal Day,0.25
115,Kolkata,West Bengal,22.686595,88.399393,31/08/2024,15:00:00,Saturday,Yes,Rural,6,No,Fog,Low,31,Medium,Weather,Fatal,1,1,No,Normal Day,0.65
116,Hyderabad,Telangana,17.416162,78.471995,12/02/2022,11:00:00,Saturday,Yes,Rural,4,Yes,Rain,Low,17,High,Distraction,Minor,3,1,No,Normal Day,0.65
117,Chennai,Tamil Nadu,12.829772,80.266893,23/11/2023,05:00:00,Thursday,No,Rural,3,No,Rain,Low,24,High,Overspeeding,Minor,2,1,No,Normal Day,0.65
118,Chandigarh,Punjab,30.703228,76.745141,20/04/2022,22:00:00,Wednesday,No,Highway,5,No,Rain,Low,36,High,Drunk Driving,Minor,4,4,No,Normal Day,0.65
119,Pune,Maharashtra,18.671835,73.77906,09/06/2023,13:00:00,Friday,No,Urban,3,No,Rain,Low,18,Low,Poor Road,Minor,1,1,No,Normal Day,0.45
120,Chandigarh,Punjab,30.780406,76.759015,28/11/2024,19:00:00,Thursday,No,Rural,1,No,Rain,Mediun,26,High,Drunk Driving,Major,3,0,Yes,Normal Day,0.60
121,Bangalore,Karnataka,12.863873,77.573049,23/06/2023,14:00:00,Friday,No,Rural,3,No,Clear,High,20,High,Drunk Driving,Major,4,0,No,Normal Day,0.30
122,Chandigarh,Punjab,30.612508,76.8941,07/09/2024,11:00:00,Saturday,Yes,Highway,2,Yes,Rain,Mediun,15,Medium,Drunk Driving,Minor,3,2,No,Normal Day,0.25
123,Pune,Maharashtra,18.613759,73.739609,08/11/2022,17:00:00,Tuesday,No,Highway,5,No,Clear,High,16,High,Weather,Major,4,1,Yes,Normal Day,0.45
124,Kolkata,West Bengal,22.615566,88.245733,02/09/2022,13:00:00,Friday,No,Urban,4,Yes,Clear,High,25,Low,Poor Road,Major,3,1,No,Normal Day,0.10
125,Chennai,Tamil Nadu,12.917829,80.107956,09/09/2022,00:00:00,Friday,No,Highway,6,No,Rain,Mediun,40,High,Overspeeding,Major,2,0,No,Normal Day,0.45
126,Chandigarh,Punjab,30.669447,76.798384,14/07/2024,13:00:00,Sunday,Yes,Urban,5,Yes,Fog,Low,38,Medium,Weather,Minor,4,3,No,Normal Day,0.45
127,Chennai,Tamil Nadu,13.023148,80.267046,24/10/2023,22:00:00,Tuesday,No,Rural,4,No,Clear,High,36,Low,Distraction,Major,3,3,No,Normal Day,0.10
128,Hyderabad,Telangana,17.469395,78.426902,12/06/2022,23:00:00,Sunday,Yes,Urban,1,No,Rain,Low,17,Medium,Poor Road,Major,3,1,No,Normal Day,0.45
129,Pune,Maharashtra,18.445959,73.866259,05/12/2022,13:00:00,Monday,No,Rural,4,Yes,Clear,High,20,Medium,Distraction,Major,2,2,No,Normal Day,0.10
130,Bangalore,Karnataka,12.810804,77.644324,12/04/2023,15:00:00,Wednesday,No,Highway,3,No,Fog,Low,31,Low,Weather,Minor,1,1,No,Normal Day,0.45
131,Kolkata,West Bengal,22.605036,88.211938,06/07/2022,20:00:00,Wednesday,No,Urban,5,Yes,Rain,Mediun,22,Medium,Overspeeding,Major,1,1,No,Normal Day,0.25
132,Chandigarh,Punjab,30.749547,76.70627,17/01/2024,05:00:00,Wednesday,No,Urban,1,No,Fog,Low,24,High,Poor Road,Minor,4,2,No,Normal Day,0.65
133,Delhi,Delhi,28.8028,76.835013,27/06/2022,15:00:00,Monday,No,Highway,4,No,Rain,Mediun,19,Low,Drunk Driving,Fatal,2,2,No,Normal Day,0.45
134,Pune,Maharashtra,18.571932,73.724503,21/01/2025,03:00:00,Tuesday,No,Highway,2,No,Clear,High,31,Low,Drunk Driving,Major,3,0,No,Normal Day,0.10
135,Bangalore,Karnataka,12.913562,77.619006,30/10/2023,19:00:00,Monday,No,Highway,3,No,Rain,Mediun,34,Medium,Poor Road,Major,4,3,Yes,Normal Day,0.40
136,Chandigarh,Punjab,30.771578,76.798125,24/09/2023,20:00:00,Sunday,Yes,Highway,3,Yes,Rain,Mediun,25,High,Weather,Fatal,5,5,No,Normal Day,0.65
137,Chennai,Tamil Nadu,12.910539,80.183088,08/07/2023,12:00:00,Saturday,Yes,Highway,5,Yes,Clear,High,28,High,Poor Road,Minor,3,2,No,Normal Day,0.30
138,Hyderabad,Telangana,17.57514,78.484234,23/07/2023,00:00:00,Sunday,Yes,Highway,5,No,Rain,Low,17,Low,Distraction,Major,1,0,No,Normal Day,0.45
139,Pune,Maharashtra,18.697073,73.828047,28/11/2022,04:00:00,Monday,No,Highway,2,No,Clear,High,20,High,Weather,Minor,5,2,No,Normal Day,0.30
140,Mumbai,Maharashtra,19.257558,72.75368,13/02/2024,10:00:00,Tuesday,No,Highway,3,Yes,Fog,Low,30,High,Weather,Major,3,0,Yes,Normal Day,0.80
141,Chennai,Tamil Nadu,13.099257,80.226182,21/09/2024,08:00:00,Saturday,Yes,Urban,4,No,Rain,Low,32,High,Poor Road,Major,1,0,Yes,Normal Day,0.80
142,Chandigarh,Punjab,30.612831,76.810119,23/11/2024,22:00:00,Saturday,Yes,Highway,4,Yes,Rain,Mediun,17,Medium,Drunk Driving,Minor,4,4,No,Normal Day,0.25
143,Bangalore,Karnataka,12.851488,77.589232,22/10/2024,21:00:00,Tuesday,No,Urban,2,Yes,Fog,Low,36,High,Drunk Driving,Minor,1,0,No,Normal Day,0.65
144,Kolkata,West Bengal,22.408139,88.322983,27/12/2023,21:00:00,Wednesday,No,Rural,3,No,Rain,Mediun,29,High,Distraction,Minor,1,0,No,Normal Day,0.45
145,Kolkata,West Bengal,22.470344,88.318475,05/06/2022,06:00:00,Sunday,Yes,Urban,3,Yes,Clear,High,38,Medium,Drunk Driving,Minor,3,3,No,Normal Day,0.10
146,Kolkata,West Bengal,22.672696,88.400666,27/01/2023,15:00:00,Friday,No,Highway,2,No,Clear,High,28,Low,Distraction,Major,2,1,No,Normal Day,0.10
147,Chennai,Tamil Nadu,13.145041,80.133716,06/05/2022,07:00:00,Friday,No,Highway,5,No,Fog,Low,15,High,Weather,Major,1,0,No,Normal Day,0.65
148,Kolkata,West Bengal,22.524367,88.453597,31/07/2024,01:00:00,Wednesday,No,Urban,5,No,Rain,Mediun,26,Low,Weather,Minor,2,0,No,Normal Day,0.25
149,Bangalore,Karnataka,13.055067,77.418018,19/10/2023,11:00:00,Thursday,No,Rural,4,Yes,Rain,Low,30,Low,Distraction,Minor,3,2,No,Normal Day,0.45
150,Delhi,Delhi,28.654528,76.925723,05/10/2022,02:00:00,Wednesday,No,Urban,4,Yes,Rain,Low,35,Low,Weather,Major,5,2,No,Normal Day,0.45
